run,file,nSnaps,successFinal,successAny,hvFinal,hvMax,bestQED,bestSim,validFrac,simEq1Count,leadLikeQED,maxQED_at_sim_ge_thr,maxSim_at_qed_ge_thr,countSim_ge_thr,countQED_ge_thr,countBoth
1,FRCSO_N100_DDProblem1_M2_D256_1.mat,26,1,1,0.878270799003856,0.878270799003856,0.945038318634033,1,1,7,0.77723902463913,0.943509161472321,0.52238804101944,89,51,40
2,FRCSO_N100_DDProblem1_M2_D256_2.mat,26,0,0,0.84510041355233,0.84510041355233,0.945703268051147,1,1,7,0.779949605464935,0.849358797073364,0.162499994039536,55,33,0
3,FRCSO_N100_DDProblem1_M2_D256_3.mat,26,1,1,0.873528561314263,0.873528561314263,0.93308961391449,1,1,13,0.761218845844269,0.93308961391449,0.622950792312622,100,50,50
4,FRCSO_N100_DDProblem1_M2_D256_4.mat,26,0,0,0.840658107565895,0.840658107565895,0.933294653892517,1,1,6,0.750856876373291,0.884969294071198,0.194805189967155,54,32,0
5,FRCSO_N100_DDProblem1_M2_D256_5.mat,26,1,1,0.848930143117029,0.848930143117029,0.933034121990204,1,1,8,0.711342990398407,0.903135418891907,0.61904764175415,37,77,14
6,FRCSO_N100_DDProblem1_M2_D256_6.mat,26,0,0,0.860320290850911,0.860320290850911,0.938945829868317,1,1,5,0.755569994449615,0.891978740692139,0.353846162557602,40,45,0
7,FRCSO_N100_DDProblem1_M2_D256_7.mat,26,0,0,0.864522452194961,0.864522452194961,0.947659373283386,1,1,7,0.754759788513184,0.875955581665039,0.25301206111908,28,58,0
8,FRCSO_N100_DDProblem1_M2_D256_8.mat,26,1,1,0.848856435947042,0.848856435947042,0.932697772979736,1,1,10,0.749667167663574,0.932697772979736,0.492063492536545,100,30,30
9,FRCSO_N100_DDProblem1_M2_D256_9.mat,26,1,1,0.876063615420998,0.876063615420998,0.942912697792053,1,1,7,0.78674727678299,0.921233892440796,0.416666656732559,60,52,12
10,FRCSO_N100_DDProblem1_M2_D256_10.mat,26,0,0,0.858121054468317,0.858121054468317,0.947512269020081,1,1,12,0.719673633575439,0.875050127506256,0.390625,48,52,0
11,FRCSO_N100_DDProblem1_M2_D256_11.mat,26,0,0,0.841822175366552,0.841822175366552,0.933986842632294,1,1,17,0.750775992870331,0.874762892723083,0.355555564165115,50,50,0
12,FRCSO_N100_DDProblem1_M2_D256_12.mat,26,0,0,0.854160224572748,0.854160224572748,0.931821048259735,1,1,6,0.785267114639282,0.876489341259003,0.337837845087051,42,58,0
