mol_id,individual_id,lead_smiles,smiles,qed,sim,sa,logp,mw,is_valid,source
6,38,Cc1cc(CNC(=O)Nc2cc(-c3ccccc3)on2)no1,Cc1cc(CNC(=O)C2CCCc3ccccc3O2)ns1,0.948261,0.289855,3.0945,2.8516,302.4,True,final_batch
11,19,C=CCNC(=O)Nc1ccc(F)c(NC(=O)OC)c1,CC=CNC(=O)Cc1ccc(F)c2c1cc(C)n2C(=O)OC,0.948186,0.264706,3.0775,2.8956,304.32,True,final_batch
34,48,CCOC[C@H]1CC[NH+](Cc2ccc(-c3nc4ccccc4s3)o2)C1,Cc1ccc(S(=O)(=O)NC2CCCc3ccccc32)nc1,0.94813,0.119048,2.662,2.7459,302.4,True,final_batch
17,97,Oc1ccc(C[NH2+]C[C@H]2CCCC[C@H]2CCl)cc1,Cc1ccccc1CC1CONC(=O)N(c2ccccc2)C1=O,0.948113,0.107692,2.9951,2.8417,310.35,True,final_batch
20,42,CC1(C)C(=O)N(CC2(CC(N)=S)CC2)S1(=O)=O,Cc1cccc([C@H]2C[CH]CC2S(C)(=O)=O)c1-c1ccn[nH]1,0.948028,0.070423,3.9354,2.88,303.41,True,final_batch
6,23,Cc1cc(CNC(=O)Nc2cc(-c3ccccc3)on2)no1,Cc1cc(CNC(=O)N2CC=C(c3ccccc3)O2)ns1,0.948021,0.359375,3.2408,2.9494,301.37,True,final_batch
9,6,COc1ccccc1N1CCN(c2ccc(=O)n(CC(=O)NC3CC3)n2)CC1,Cc1nn2c(c1CNc1ncccc1Br)CCC2,0.947907,0.146341,2.777,2.9073,307.2,True,final_batch
48,33,COc1ccccc1/C=C/C[NH+]1CCN(CCO)CC1,COc1cc2ccc1CC(=O)N(Cc1cccc3c1NCC3)C2,0.947773,0.168831,3.5877,2.7481,308.38,True,final_batch
30,45,C[C@@H](c1ccc([S@](C)=O)cc1)N(C)C(=O)c1cc2cccc(F)c2o1,Cc1ccc(CN2CCN(C(=O)c3ccc(C)c(O)c3)C2)cc1,0.947757,0.142857,2.0379,2.9245,310.4,True,final_batch
16,42,N#Cc1cc2c(cc1C#N)N1CCCc3c(Cl)ccc(c31)O2,N#Cc1cc#ccc1C[N+]N1CCCc2c(Cl)ccc(O)c21,0.947701,0.365079,4.4201,2.9899,310.76,True,final_batch
18,32,CCC[C@@H]1NC(=O)N(CC(=O)Nc2ccccc2Oc2ccccc2)C1=O,CC1CN(Cc2cc(C(C)C)[nH]n2)C(=O)c2ccccc2O1,0.947643,0.17284,3.1594,2.9564,299.37,True,final_batch
14,2,CCCc1nnc(NC(=O)NNc2ccccc2Cl)s1,COCCc1nccccc(=O)[nH]n2cccccc-2s1,0.947449,0.208333,3.2751,2.4976,303.39,True,final_batch
34,26,CCOC[C@H]1CC[NH+](Cc2ccc(-c3nc4ccccc4s3)o2)C1,[CH]1[CH]C[C](CC2=NC=C(c3nc4ccccc4s3)[NH2+]2)OCC1,0.947317,0.265823,4.3463,2.7113,311.41,True,final_batch
34,68,CCOC[C@H]1CC[NH+](Cc2ccc(-c3nc4ccccc4s3)o2)C1,C[C]1[CH][C@H](CC2=NC=C(c3nc4ccccc4s3)[NH2+]2)CCO1,0.947226,0.307692,4.577,2.753,312.42,True,final_batch
36,18,Cc1sc(NC(=O)Cc2ccc(F)cc2)nc1-c1ccc(F)cc1,CC1([N+])CCc2sc(NC(=O)Cc3ccc(F)cc3)nc21,0.947173,0.517857,3.4218,2.6935,303.36,True,final_batch
34,47,CCOC[C@H]1CC[NH+](Cc2ccc(-c3nc4ccccc4s3)o2)C1,C[C]1OCCC[C@@H]1CC1[NH+]C=C(c2nc3ccccc3s2)O1,0.947072,0.324675,4.5322,2.6688,315.42,True,final_batch
24,59,O=C(COc1ncnc2ccc(Br)cc12)Nc1ccccc1Cl,O=C(COC1=NCCc2ccc(F)cc21)Nc1ccccc1,0.946997,0.263889,2.3184,2.7837,298.32,True,final_batch
29,36,O=C(Nc1cccc(N2CCCNC2=O)c1)C(=O)N1CCc2cc(F)ccc2C1,CC(=O)C1=CC=CC(F)CC(NC(=O)c2cccc3c2C3)C1,0.946967,0.146067,3.8569,2.8927,299.35,True,final_batch
17,18,Oc1ccc(C[NH2+]C[C@H]2CCCC[C@H]2CCl)cc1,CC1NOCC(Cc2ccccc2)C(=O)N1c1ccccc1,0.946691,0.131148,3.3097,2.7593,296.37,True,final_batch
17,35,Oc1ccc(C[NH2+]C[C@H]2CCCC[C@H]2CCl)cc1,O=C1N[CH]CC(Cc2ccccc2)S(=O)N1c1ccccc1,0.946616,0.133333,3.779,3.0431,313.4,True,final_batch
24,92,O=C(COc1ncnc2ccc(Br)cc12)Nc1ccccc1Cl,Cc1ccc2c(c1)C(OCC(=O)Nc1ccccc1F)=NCC2,0.946607,0.30137,2.3864,3.0921,312.34,True,final_batch
24,48,O=C(COc1ncnc2ccc(Br)cc12)Nc1ccccc1Cl,O=C(COC1=NCCc2ccc([18F])cc21)Nc1ccccc1F,0.946603,0.309859,2.4104,2.9228,315.31,True,final_batch
