mol_id,warm_has_success,warm_n_entries,warm_n_success,final_n,final_has_success,final_n_success,final_qed_max,final_sim_max,overlap_any,overlap_with_ws_success,rediscovered_ws_success
0,True,18,1,100,False,0,0.87961155,1.0,0,0,False
1,True,12,1,100,False,0,0.94570327,1.0,0,0,False
2,True,9,1,100,True,93,0.93308961,1.0,0,0,False
3,False,190,0,100,False,0,0.92954648,1.0,0,0,False
4,True,4,1,100,True,99,0.9011237,1.0,0,0,False
5,True,11,1,100,False,0,0.9274165,1.0,0,0,False
6,True,7,1,100,False,0,0.93014669,1.0,0,0,False
7,True,7,1,100,False,0,0.91688406,1.0,0,0,False
8,True,26,1,100,False,0,0.94289899,1.0,0,0,False
9,True,51,1,100,False,0,0.94432849,1.0,0,0,False
10,True,143,1,100,False,0,0.92812067,1.0,0,0,False
11,True,2,1,100,False,0,0.92786276,1.0,0,0,False
12,True,2,1,100,False,0,0.93165779,1.0,0,0,False
13,True,4,1,100,True,97,0.92940921,1.0,0,0,False
14,True,20,1,100,False,0,0.91309845,1.0,0,0,False
15,False,28,0,100,True,9,0.93260968,1.0,0,0,False
16,True,74,1,100,False,0,0.94572788,1.0,0,0,False
17,True,73,1,100,False,0,0.9135021,1.0,0,0,False
18,False,51,0,100,False,0,0.94398326,1.0,0,0,False
19,False,30,0,100,True,88,0.90364212,1.0,0,0,False
20,True,20,1,100,True,87,0.9072994,1.0,0,0,False
21,True,16,1,100,True,96,0.90785646,1.0,0,0,False
22,True,3,1,100,True,86,0.92859125,1.0,0,0,False
23,True,23,1,100,False,0,0.94494689,1.0,0,0,False
24,True,22,1,100,True,99,0.93855935,1.0,0,0,False
25,False,48,0,100,True,97,0.90093797,1.0,0,0,False
26,True,5,1,100,False,0,0.94757491,1.0,0,0,False
27,True,3,1,100,False,0,0.94187409,1.0,0,0,False
28,False,70,0,100,False,0,0.94100785,1.0,0,0,False
29,True,4,1,100,False,0,0.92454308,1.0,0,0,False
30,True,2,1,100,False,0,0.94070601,1.0,0,0,False
31,True,8,1,100,True,90,0.90798974,1.0,0,0,False
32,True,11,1,100,False,0,0.93237948,1.0,0,0,False
33,True,14,1,100,False,0,0.94355762,1.0,0,0,False
34,True,2,1,100,False,0,0.94029713,1.0,0,0,False
35,False,36,0,100,True,68,0.91427177,1.0,0,0,False
36,False,27,0,100,True,99,0.9178198,1.0,0,0,False
37,True,5,1,100,False,0,0.92366993,1.0,0,0,False
